__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
1:58:59,-0.23,6.46,7.77,-0.08,0,-0.01,
1:59:00,-0.32,6.64,7.44,-0.14,0.05,0,
1:59:01,-0.27,6.63,7.47,-0.08,0.02,-0.04,
1:59:02,0.03,6.68,7.52,-0.05,-0.04,-0.07,
1:59:03,-0.25,6.59,7.42,-0.09,0.08,-0.03,
1:59:04,-0.12,6.56,7.57,-0.06,0.01,-0.03,
1:59:05,-0.35,6.77,7.44,-0.11,0.02,-0.03,
1:59:06,-0.28,6.59,7.41,-0.07,0.03,-0.01,
1:59:07,-0.26,6.55,7.5,-0.08,0.01,0,
1:59:08,-0.47,6.56,7.61,-0.07,0.05,-0.03,
1:59:09,-0.09,6.54,7.59,-0.09,0.07,-0.02,
1:59:10,-0.25,6.52,7.59,-0.07,0.02,-0.05,
1:59:11,-0.38,6.58,7.55,-0.08,0.06,-0.03,
1:59:12,-0.51,6.55,7.48,-0.08,0.03,-0.03,
1:59:13,-0.5,6.59,7.55,-0.09,0.03,-0.01,
1:59:14,-0.18,6.54,7.58,-0.09,0.08,0,
1:59:15,-0.02,6.45,7.64,-0.09,0.06,-0.03,
1:59:16,-0.1,6.48,7.71,-0.07,0.05,-0.06,
1:59:17,-0.36,6.55,7.69,-0.08,0,-0.04,
1:59:18,-0.35,6.55,7.53,-0.08,0.04,-0.01,
1:59:19,-0.28,6.59,7.4,-0.06,0.04,0,
1:59:20,-0.1,6.69,7.41,-0.1,0.05,-0.03,
1:59:21,-0.27,6.5,7.63,-0.09,0.06,0.01,
1:59:22,0.34,6.8,7.45,-0.09,0.08,0,
1:59:23,-0.26,6.65,7.47,-0.08,0.03,0,
1:59:24,-0.32,6.77,7.37,-0.03,0.01,-0.02,
1:59:25,-0.32,6.71,7.44,-0.06,0.05,-0.01,
1:59:26,-0.49,6.51,7.64,-0.06,0.02,-0.03,
1:59:27,0.08,6.66,7.5,-0.06,0.01,-0.06,
1:59:28,-0.14,6.6,7.5,-0.09,0.02,-0.03,
1:59:29,-0.2,6.59,7.52,-0.06,0.02,-0.01,
1:59:30,-0.17,6.69,7.52,-0.1,0.06,-0.02,
1:59:31,-0.34,6.65,7.45,-0.09,0.06,0.01,
1:59:32,-0.41,6.39,7.65,-0.05,-0.01,-0.04,
1:59:33,-0.17,6.56,7.57,-0.08,0.03,-0.02,
1:59:34,-0.25,6.54,7.58,-0.06,0.06,0.02,
1:59:35,-0.4,6.54,7.62,-0.07,0.08,-0.02,
1:59:36,-0.46,6.52,7.63,-0.05,-0.06,-0.06,
1:59:37,-0.12,6.73,7.45,-0.08,0.05,-0.04,
1:59:38,-0.28,6.63,7.64,-0.09,0.04,-0.01,
1:59:39,-0.19,6.63,7.58,-0.09,0.02,0,
1:59:40,-0.25,6.7,7.57,-0.04,-0.01,0,
1:59:41,-0.44,6.56,7.43,0.01,-0.02,-0.06,
1:59:42,-0.46,6.7,7.49,-0.07,0.1,0,
1:59:43,-0.29,6.59,7.45,-0.09,0.03,-0.03,
1:59:44,-0.35,6.54,7.71,-0.03,-0.04,-0.04,
1:59:45,-0.16,6.74,7.46,-0.09,0.06,-0.02,
1:59:46,-0.32,6.59,7.67,-0.11,0.07,0.01,
1:59:47,-0.26,6.6,7.42,-0.09,0.03,-0.01,
1:59:48,-0.34,6.57,7.52,-0.05,0.04,0,
1:59:49,-0.4,6.65,7.65,-0.08,0.08,-0.03,
1:59:50,-0.22,6.6,7.6,-0.07,0.02,-0.03,
1:59:51,-0.2,6.61,7.53,-0.11,0.03,-0.02,
1:59:52,-0.15,6.6,7.48,-0.03,0,-0.12,
1:59:53,-0.03,6.4,7.61,-0.1,-0.02,0,
1:59:54,-0.36,6.41,7.72,-0.07,0.07,0,
1:59:55,0.26,6.57,7.39,-0.03,0.04,-0.01,
1:59:56,-0.33,6.72,7.58,-0.09,0.07,-0.01,
1:59:57,0.01,6.43,7.68,-0.1,0.04,-0.04,
